Variables	Terms	2009 Jan	2009 Feb	2009 Mar	2009 Apr	2009 May	2009 Jun	2009 Jul	2009 Aug	2009 Sep	2009 Oct	2009 Nov	2009 Dec	2010 Jan	2010 Feb	2010 Mar	2010 Apr	2010 May	2010 Jun	2010 Jul	2010 Aug	2010 Sep	2010 Oct	2010 Nov	2010 Dec	2011 Jan	2011 Feb	2011 Mar	2011 Apr	2011 May	2011 Jun	2011 Jul	2011 Aug	2011 Sep	2011 Oct	2011 Nov	2011 Dec	2012 Jan	2012 Feb	2012 Mar	2012 Apr	2012 May	2012 Jun	2012 Jul	2012 Aug	2012 Sep	2012 Oct	2012 Nov	2012 Dec	2013 Jan	2013 Feb	2013 Mar	2013 Apr	2013 May	2013 Jun	2013 Jul	2013 Aug	2013 Sep	2013 Oct	2013 Nov	2013 Dec
Term Frequnecy	terry jones	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	37	5	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Term Frequnecy	judge walker	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	1	0	2	0	26	0	0	1	4	0	0	0	0	0	2	0	1	0	0	1	2	0	7	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Term Frequnecy	teddy	0	0	0	0	0	2	0	20	7	0	0	1	8	2	0	0	1	1	0	3	0	0	1	2	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0
Term Frequnecy	lugar	2	1	0	1	0	2	1	0	0	0	3	2	0	0	2	0	1	1	3	1	4	0	4	4	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	16	1	0	1	1	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0
Term Frequnecy	sesame street	2	0	1	1	0	1	3	1	0	1	2	0	1	1	2	3	2	1	1	0	2	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	24	2	1	0	0	0	0	0	1	0	0	0	0	0	0
Term Frequnecy	faisal shahzad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3	5	3	0	4	0	2	2	0	0	0	2	1	2	0	1	2	0	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1
Term Frequnecy	cordoba house	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	41	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Term Frequnecy	candy crowley	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	29	6	2	0	0	2	0	2	0	1	0	0	1	0	0
Term Frequnecy	breitbart	0	0	2	0	0	0	0	0	1	0	0	0	2	2	1	0	1	0	17	8	0	0	1	1	1	1	2	0	0	2	1	0	0	0	0	0	0	1	3	0	2	0	2	1	1	1	0	0	0	2	0	0	1	1	0	1	0	0	0	0
Term Frequnecy	troy davis	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	2	0	0	0	23	13	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	2	0	1	0	0	0
Term Frequnecy	juan williams	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	18	4	0	0	1	2	0	0	0	1	1	1	1	0	1	8	3	0	3	0	1	0	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0
Term Frequnecy	chechnya	1	0	1	0	0	0	0	1	1	3	0	4	1	0	1	0	1	2	2	0	0	1	2	0	1	0	2	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	16	4	1	0	1	2	0	1	1
Term Frequnecy	hasan	0	0	0	0	0	0	0	0	0	0	32	0	1	2	1	0	4	0	0	2	1	1	2	1	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Term Frequnecy	tom vilsack	4	2	3	0	0	0	0	1	0	0	1	2	0	1	4	0	2	0	15	2	0	2	1	2	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0
Term Frequnecy	bay state	0	0	0	1	0	0	0	1	1	0	0	1	16	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	4	2	0	2	1	1	1	2	1	3	0	1	2	1	2	0	2	1	1	0	0	2	0	0	0	0	0	0
Term Frequnecy	abdul rauf	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	1	30	8	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	nobel committee	0	0	0	0	0	0	0	0	0	30	1	5	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	1	2	1	0	0
Term Frequnecy	seneca falls	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	19	10	3	1	0	1	1	2	0	0	0	1
Term Frequnecy	thatcher	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	3	1	1	1	1	1	0	0	0	0	2	1	0	0	0	1	1	0	0	1	1	5	1	0	1	0	0	1	0	0	0	0	1	0	0	0	17	2	1	0	0	1	0	0	1
Term Frequnecy	bill halter	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	18	15	2	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Term Frequnecy	michael hastings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	16	6	3	0	1	0	1	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	1	1
Term Frequnecy	jared lee loughner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	2	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0
Term Frequnecy	judge vaughn walker	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	1	1	19	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	2	0	4	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Term Frequnecy	adl	3	0	0	0	1	0	0	1	2	0	1	0	1	1	0	1	0	0	1	17	2	4	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	david souter	0	0	0	1	25	5	0	3	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
Term Frequnecy	peace prize	0	0	0	0	0	0	0	0	0	18	1	4	2	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	1	1	1	1	0	0
Term Frequnecy	massachusetts senate	0	0	0	0	0	0	0	0	0	0	1	0	22	1	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	2	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	bybee	0	0	0	17	7	1	2	2	0	1	0	0	2	4	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	mosque	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	18	11	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
Term Frequnecy	nidal malik hasan	0	0	0	0	0	0	0	0	0	0	17	0	2	1	1	0	0	0	0	1	2	1	0	1	1	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0
Term Frequnecy	james crowley	0	0	0	0	0	0	27	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Term Frequnecy	dzhokhar tsarnaev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	3	0	2	1	0	0
Term Frequnecy	scott roeder	0	0	0	0	0	16	1	2	1	0	3	2	2	1	0	1	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	mcnamara	0	0	0	0	0	1	20	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
Term Frequnecy	hofstra university	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	18	1	0	0	0	0	1	3	0	0	0	0	3	0	0
Term Frequnecy	prism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	6	1	2	0	0	2
Term Frequnecy	mark williams	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	4	1	16	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	alvin greene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	1	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Term Frequnecy	komen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	christina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	16	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0
Term Frequnecy	tamerlan tsarnaev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	2	0	0	0	1	0	0
Term Frequnecy	paula broadwell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	2	1	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	confederate history month	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	rauf	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	5	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	susan g. komen	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	hurricane isaac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	4	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	clarence dupnik	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	17	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	cordoba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	broadwell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	1	1	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	giglio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Term Frequnecy	louie giglio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
